wavelength, flux 
433.900,  0.430 
434.000,  0.333 
434.100,  0.343 
434.200,  0.436 
434.300,  0.500 
434.400,  0.558 
434.500,  0.615 
434.600,  0.664 
434.700,  0.709 
434.800,  0.747 
434.900,  0.781 
435.000,  0.811 
435.100,  0.836 
435.200,  0.818 
435.300,  0.876 
435.400,  0.887 
435.500,  0.907 
435.600,  0.919 
435.700,  0.928 
435.800,  0.927 
435.900,  0.945 
436.000,  0.951 
436.100,  0.951 
436.200,  0.958 
436.300,  0.965 
436.400,  0.971 
436.500,  0.974 
436.600,  0.977 
436.700,  0.980 
436.800,  0.967 
436.900,  0.982 
437.000,  0.986 
437.100,  0.987 
437.200,  0.989 
437.300,  0.992 
437.400,  0.991 
437.500,  0.991 
437.600,  0.996 
437.700,  0.988 
437.800,  0.997 
437.900,  0.999 
438.000,  0.998 
438.100,  1.000 
438.200,  1.001 
438.300,  0.996 
438.400,  0.974 
438.500,  0.925 
438.600,  1.001 
438.700,  0.997 
438.800,  1.002 
438.900,  1.003 
439.000,  0.990 
439.100,  0.955 
439.200,  1.003 
439.300,  1.003 
439.400,  1.002 
439.500,  0.969 
439.600,  0.997 
439.700,  1.004 
439.800,  1.002 
439.900,  1.004 
440.000,  0.990 
440.100,  1.004 
440.200,  1.004 
440.300,  0.997 
440.400,  1.004 
440.500,  0.999 
440.600,  1.005 
440.700,  1.003 
440.800,  1.004 
440.900,  1.003 
441.000,  1.004 
441.100,  0.999 
441.200,  1.003 
441.300,  1.005 
441.400,  0.999 
441.500,  1.001 
441.600,  1.003 
441.700,  0.964 
441.800,  0.991 
441.900,  1.001 
442.000,  1.000 
442.100,  1.004 
442.200,  1.001 
442.300,  1.004 
442.400,  1.004 
442.500,  1.004 
442.600,  1.003 
442.700,  1.004 
442.800,  0.982 
442.900,  1.004 
443.000,  1.003 
443.100,  1.001 
443.200,  1.000 
443.300,  1.003 
443.400,  0.969 
443.500,  1.001 
443.600,  0.994 
443.700,  0.991 
443.800,  1.003 
443.900,  1.003 
444.000,  1.003 
444.100,  1.002 
444.200,  1.002 
444.300,  1.002 
444.400,  0.974 
444.500,  0.998 
444.600,  0.996 
444.700,  1.002 
444.800,  1.000 
444.900,  1.001 
445.000,  0.993 
445.100,  0.997 
445.200,  0.990 
445.300,  1.000 
445.400,  1.002 
445.500,  0.990 
445.600,  1.001 
445.700,  1.001 
445.800,  1.002 
445.900,  1.001 
446.000,  1.001 
446.100,  0.998 
446.200,  0.992 
446.300,  1.001 
446.400,  0.996 
446.500,  1.000 
446.600,  0.999 
446.700,  1.000 
446.800,  0.986 
446.900,  0.984 
447.000,  0.998 
447.100,  0.945 
447.200,  0.948 
447.300,  0.998 
447.400,  0.998 
447.500,  0.999 
447.600,  0.998 
447.700,  1.000 
447.800,  1.000 
447.900,  0.997 
448.000,  0.995 
448.100,  0.734 
448.200,  0.984 
448.300,  0.998 
448.400,  0.999 
448.500,  1.000 
448.600,  0.999 
448.700,  0.997 
448.800,  0.993 
448.900,  0.991 
449.000,  1.000 
449.100,  0.966 
449.200,  0.998 
449.300,  0.998 
449.400,  0.996 
449.500,  0.999 
449.600,  1.000 
449.700,  1.000 
449.800,  0.999 
449.900,  0.998 
450.000,  0.996 
450.100,  0.973 
450.200,  1.000 
450.300,  1.000 
450.400,  0.999 
450.500,  1.000 
450.600,  1.000 
450.700,  0.996 
450.800,  0.952 
450.900,  0.998 
451.000,  0.999 
451.100,  0.998 
451.200,  0.996 
451.300,  0.999 
451.400,  0.999 
451.500,  0.956 
451.600,  0.997 
451.700,  0.999 
451.800,  0.999 
451.900,  0.998 
452.000,  0.981 
452.100,  0.999 
452.200,  0.999 
452.300,  0.947 
452.400,  0.998 
452.500,  0.984 
452.600,  0.998 
452.700,  0.998 
452.800,  0.999 
452.900,  0.994 
453.000,  0.997 
453.100,  0.999 
453.200,  0.998 
453.300,  0.998 
453.400,  0.938 
453.500,  0.998 
453.600,  0.999 
453.700,  0.999 
453.800,  0.999 
453.900,  0.999 
454.000,  0.999 
454.100,  0.987 
454.200,  0.979 
454.300,  0.999 
454.400,  0.999 
454.500,  0.998 
454.600,  0.999 
454.700,  0.998 
454.800,  0.999 
454.900,  0.933 
455.000,  0.941 
455.100,  0.999 
455.200,  0.996 
455.300,  0.995 
455.400,  0.999 
455.500,  0.983 
455.600,  0.949 
455.700,  0.999 
455.800,  0.999 
455.900,  0.954 
456.000,  0.999 
456.100,  0.999 
456.200,  0.999 
456.300,  0.998 
456.400,  0.978 
456.500,  0.999 
456.600,  0.998 
456.700,  0.999 
456.800,  0.996 
456.900,  0.999 
457.000,  0.999 
457.100,  0.999 
457.200,  0.965 
457.300,  0.999 
457.400,  0.999 
457.500,  0.998 
457.600,  0.967 
457.700,  0.999 
457.800,  0.999 
457.900,  0.996 
458.000,  0.986 
458.100,  0.999 
458.200,  0.999 
458.300,  0.975 
458.400,  0.935 
458.500,  0.999 
458.600,  0.998 
458.700,  0.999 
458.800,  0.960 
458.900,  0.998 
459.000,  0.992 
459.100,  0.998 
459.200,  0.982 
459.300,  0.999 
459.400,  0.997 
459.500,  0.999 
459.600,  0.982 
459.700,  1.000 
459.800,  0.996 
459.900,  0.995 
460.000,  0.999 
460.100,  0.997 
460.200,  0.997 
460.300,  0.999 
460.400,  1.000 
460.500,  0.997 
460.600,  0.999 
460.700,  0.999 
460.800,  0.999 
460.900,  0.999 
461.000,  0.999 
461.100,  0.998 
461.200,  0.999 
461.300,  0.999 
461.400,  0.998 
461.500,  0.998 
461.600,  0.997 
461.700,  0.985 
461.800,  0.998 
461.900,  0.967 
462.000,  0.988 
462.100,  0.974 
462.200,  0.982 
462.300,  0.999 
462.400,  0.999 
462.500,  0.998 
