wavelength, flux, error 
408.200,  0.684,  0.034 
408.300,  0.508,  0.025 
408.400,  0.437,  0.022 
408.500,  0.464,  0.023 
408.600,  0.659,  0.033 
408.700,  0.681,  0.034 
408.800,  0.778,  0.039 
408.900,  0.743,  0.037 
409.000,  0.626,  0.031 
409.100,  0.699,  0.035 
409.200,  0.688,  0.034 
409.300,  0.700,  0.035 
409.400,  0.720,  0.036 
409.500,  0.567,  0.028 
409.600,  0.446,  0.022 
409.700,  0.572,  0.029 
409.800,  0.614,  0.031 
409.900,  0.679,  0.034 
410.000,  0.560,  0.028 
410.100,  0.464,  0.023 
410.200,  0.405,  0.020 
410.300,  0.528,  0.026 
410.400,  0.549,  0.027 
410.500,  0.445,  0.022 
410.600,  0.692,  0.035 
410.700,  0.621,  0.031 
410.800,  0.565,  0.028 
410.900,  0.624,  0.031 
411.000,  0.575,  0.029 
411.100,  0.592,  0.030 
411.200,  0.492,  0.025 
411.300,  0.526,  0.026 
411.400,  0.665,  0.033 
411.500,  0.506,  0.025 
411.600,  0.596,  0.030 
411.700,  0.697,  0.035 
411.800,  0.560,  0.028 
411.900,  0.383,  0.019 
412.000,  0.543,  0.027 
412.100,  0.592,  0.030 
412.200,  0.656,  0.033 
412.300,  0.524,  0.026 
412.400,  0.591,  0.030 
412.500,  0.768,  0.038 
412.600,  0.516,  0.026 
412.700,  0.608,  0.030 
412.800,  0.252,  0.013 
412.900,  0.553,  0.028 
413.000,  0.598,  0.030 
413.100,  0.516,  0.026 
413.200,  0.268,  0.013 
413.300,  0.434,  0.022 
413.400,  0.390,  0.020 
413.500,  0.463,  0.023 
413.600,  0.644,  0.032 
413.700,  0.382,  0.019 
413.800,  0.556,  0.028 
413.900,  0.590,  0.030 
414.000,  0.504,  0.025 
414.100,  0.616,  0.031 
414.200,  0.387,  0.019 
414.300,  0.245,  0.012 
414.400,  0.140,  0.007 
414.500,  0.454,  0.023 
414.600,  0.499,  0.025 
414.700,  0.639,  0.032 
414.800,  0.441,  0.022 
414.900,  0.485,  0.024 
415.000,  0.374,  0.019 
415.100,  0.583,  0.029 
415.200,  0.446,  0.022 
415.300,  0.624,  0.031 
415.400,  0.305,  0.015 
415.500,  0.455,  0.023 
415.600,  0.553,  0.028 
415.700,  0.452,  0.023 
415.800,  0.384,  0.019 
415.900,  0.593,  0.030 
416.000,  0.538,  0.027 
416.100,  0.612,  0.031 
416.200,  0.546,  0.027 
416.300,  0.581,  0.029 
416.400,  0.520,  0.026 
416.500,  0.462,  0.023 
416.600,  0.614,  0.031 
416.700,  0.407,  0.020 
416.800,  0.473,  0.024 
416.900,  0.611,  0.031 
417.000,  0.540,  0.027 
417.100,  0.558,  0.028 
417.200,  0.351,  0.018 
417.300,  0.403,  0.020 
417.400,  0.471,  0.024 
417.500,  0.401,  0.020 
417.600,  0.365,  0.018 
417.700,  0.484,  0.024 
417.800,  0.437,  0.022 
417.900,  0.566,  0.028 
418.000,  0.564,  0.028 
418.100,  0.492,  0.025 
418.200,  0.422,  0.021 
418.300,  0.502,  0.025 
418.400,  0.683,  0.034 
418.500,  0.518,  0.026 
418.600,  0.482,  0.024 
418.700,  0.301,  0.015 
418.800,  0.393,  0.020 
418.900,  0.518,  0.026 
419.000,  0.515,  0.026 
419.100,  0.443,  0.022 
419.200,  0.438,  0.022 
419.300,  0.649,  0.032 
419.400,  0.561,  0.028 
419.500,  0.421,  0.021 
419.600,  0.364,  0.018 
419.700,  0.399,  0.020 
419.800,  0.362,  0.018 
419.900,  0.286,  0.014 
420.000,  0.393,  0.020 
420.100,  0.418,  0.021 
420.200,  0.185,  0.009 
420.300,  0.427,  0.021 
420.400,  0.504,  0.025 
420.500,  0.500,  0.025 
420.600,  0.606,  0.030 
420.700,  0.489,  0.024 
420.800,  0.786,  0.039 
420.900,  0.678,  0.034 
421.000,  0.376,  0.019 
421.100,  0.586,  0.029 
421.200,  0.549,  0.027 
421.300,  0.453,  0.023 
421.400,  0.481,  0.024 
421.500,  0.476,  0.024 
421.600,  0.221,  0.011 
421.700,  0.536,  0.027 
421.800,  0.528,  0.026 
421.900,  0.571,  0.029 
422.000,  0.625,  0.031 
422.100,  0.728,  0.036 
422.200,  0.471,  0.024 
422.300,  0.521,  0.026 
422.400,  0.381,  0.019 
422.500,  0.317,  0.016 
422.600,  0.153,  0.008 
422.700,  0.057,  0.003 
422.800,  0.257,  0.013 
422.900,  0.460,  0.023 
423.000,  0.567,  0.028 
423.100,  0.669,  0.033 
423.200,  0.551,  0.028 
423.300,  0.531,  0.027 
423.400,  0.515,  0.026 
423.500,  0.614,  0.031 
423.600,  0.312,  0.016 
423.700,  0.526,  0.026 
423.800,  0.633,  0.032 
423.900,  0.502,  0.025 
424.000,  0.475,  0.024 
424.100,  0.587,  0.029 
424.200,  0.470,  0.023 
424.300,  0.488,  0.024 
424.400,  0.670,  0.033 
424.500,  0.583,  0.029 
424.600,  0.734,  0.037 
424.700,  0.470,  0.024 
424.800,  0.500,  0.025 
424.900,  0.541,  0.027 
425.000,  0.353,  0.018 
425.100,  0.247,  0.012 
425.200,  0.553,  0.028 
425.300,  0.596,  0.030 
425.400,  0.240,  0.012 
425.500,  0.315,  0.016 
425.600,  0.500,  0.025 
425.700,  0.744,  0.037 
425.800,  0.587,  0.029 
425.900,  0.540,  0.027 
426.000,  0.336,  0.017 
426.100,  0.366,  0.018 
426.200,  0.511,  0.026 
426.300,  0.541,  0.027 
426.400,  0.579,  0.029 
426.500,  0.639,  0.032 
426.600,  0.621,  0.031 
426.700,  0.593,  0.030 
426.800,  0.467,  0.023 
426.900,  0.445,  0.022 
427.000,  0.352,  0.018 
427.100,  0.264,  0.013 
427.200,  0.192,  0.010 
427.300,  0.302,  0.015 
427.400,  0.352,  0.018 
427.500,  0.162,  0.008 
427.600,  0.512,  0.026 
427.700,  0.534,  0.027 
427.800,  0.676,  0.034 
427.900,  0.618,  0.031 
428.000,  0.365,  0.018 
428.100,  0.395,  0.020 
428.200,  0.482,  0.024 
428.300,  0.428,  0.021 
428.400,  0.596,  0.030 
428.500,  0.425,  0.021 
428.600,  0.369,  0.018 
428.700,  0.516,  0.026 
428.800,  0.580,  0.029 
428.900,  0.314,  0.016 
429.000,  0.230,  0.011 
429.100,  0.422,  0.021 
429.200,  0.434,  0.022 
429.300,  0.612,  0.031 
429.400,  0.386,  0.019 
429.500,  0.440,  0.022 
