wavelength, flux 
439.600,  0.958 
439.700,  0.997 
439.800,  0.964 
439.900,  0.999 
440.000,  0.905 
440.100,  0.988 
440.200,  0.989 
440.300,  0.990 
440.400,  0.999 
440.500,  0.942 
440.600,  1.002 
440.700,  1.001 
440.800,  0.985 
440.900,  0.980 
441.000,  0.994 
441.100,  0.971 
441.200,  0.981 
441.300,  1.002 
441.400,  0.986 
441.500,  0.950 
441.600,  0.976 
441.700,  0.946 
441.800,  0.920 
441.900,  0.999 
442.000,  1.001 
442.100,  0.995 
442.200,  0.972 
442.300,  0.986 
442.400,  0.993 
442.500,  0.987 
442.600,  0.999 
442.700,  0.991 
442.800,  0.981 
442.900,  1.002 
443.000,  0.996 
443.100,  0.991 
443.200,  0.996 
443.300,  0.986 
443.400,  0.967 
443.500,  0.967 
443.600,  0.978 
443.700,  0.995 
443.800,  1.000 
443.900,  1.001 
444.000,  1.000 
444.100,  0.999 
444.200,  0.970 
444.300,  0.982 
444.400,  0.923 
444.500,  0.985 
444.600,  0.992 
444.700,  0.999 
444.800,  0.988 
444.900,  1.000 
445.000,  0.963 
445.100,  0.979 
445.200,  0.985 
445.300,  0.997 
445.400,  0.991 
445.500,  0.934 
445.600,  0.981 
445.700,  0.990 
445.800,  0.991 
445.900,  0.975 
446.000,  1.000 
446.100,  0.985 
446.200,  0.970 
446.300,  0.999 
446.400,  0.975 
446.500,  0.989 
446.600,  0.990 
446.700,  0.973 
446.800,  0.966 
446.900,  0.932 
447.000,  0.992 
447.100,  0.967 
447.200,  0.979 
447.300,  0.996 
447.400,  0.994 
447.500,  0.998 
447.600,  0.951 
447.700,  1.000 
447.800,  0.999 
447.900,  0.987 
448.000,  0.984 
448.100,  0.699 
448.200,  0.955 
448.300,  0.989 
448.400,  0.983 
448.500,  0.998 
448.600,  0.992 
448.700,  0.995 
448.800,  0.959 
448.900,  0.968 
449.000,  0.995 
449.100,  0.944 
449.200,  0.996 
449.300,  0.994 
449.400,  0.990 
449.500,  0.978 
449.600,  0.996 
449.700,  0.990 
449.800,  0.996 
449.900,  0.993 
450.000,  0.992 
450.100,  0.928 
450.200,  0.998 
450.300,  0.999 
450.400,  0.997 
450.500,  0.999 
450.600,  0.998 
450.700,  0.994 
450.800,  0.936 
450.900,  0.998 
451.000,  0.998 
451.100,  0.997 
451.200,  0.994 
451.300,  0.997 
451.400,  0.997 
451.500,  0.938 
451.600,  0.991 
451.700,  0.996 
451.800,  0.979 
451.900,  0.997 
452.000,  0.961 
452.100,  0.998 
452.200,  0.995 
452.300,  0.929 
452.400,  0.997 
452.500,  0.939 
452.600,  0.995 
452.700,  0.993 
452.800,  0.992 
452.900,  0.943 
453.000,  0.988 
453.100,  0.985 
453.200,  0.993 
453.300,  0.991 
453.400,  0.883 
453.500,  0.993 
453.600,  0.993 
453.700,  0.996 
453.800,  0.996 
453.900,  0.997 
454.000,  0.996 
454.100,  0.977 
454.200,  0.967 
454.300,  0.999 
454.400,  0.989 
454.500,  0.990 
454.600,  0.995 
454.700,  0.995 
454.800,  0.987 
454.900,  0.916 
455.000,  0.886 
455.100,  0.999 
455.200,  0.996 
455.300,  0.998 
455.400,  0.991 
455.500,  0.960 
455.600,  0.921 
455.700,  0.998 
455.800,  0.998 
455.900,  0.931 
456.000,  0.998 
456.100,  0.998 
456.200,  0.999 
456.300,  0.999 
456.400,  0.932 
456.500,  0.992 
456.600,  0.993 
456.700,  0.998 
456.800,  0.980 
456.900,  0.995 
457.000,  0.998 
457.100,  0.996 
457.200,  0.920 
457.300,  0.998 
457.400,  0.998 
457.500,  0.997 
457.600,  0.949 
457.700,  0.998 
457.800,  0.993 
457.900,  0.986 
458.000,  0.962 
458.100,  0.977 
458.200,  0.994 
458.300,  0.952 
458.400,  0.912 
458.500,  0.997 
458.600,  0.974 
458.700,  0.996 
458.800,  0.939 
458.900,  0.991 
459.000,  0.954 
459.100,  0.992 
459.200,  0.953 
459.300,  0.992 
459.400,  0.995 
459.500,  0.995 
459.600,  0.967 
459.700,  0.998 
459.800,  0.992 
459.900,  0.994 
460.000,  0.992 
460.100,  0.983 
460.200,  0.988 
460.300,  0.991 
460.400,  0.999 
460.500,  0.985 
460.600,  0.998 
460.700,  0.998 
460.800,  0.995 
460.900,  0.992 
461.000,  0.998 
461.100,  0.979 
461.200,  0.993 
461.300,  0.994 
461.400,  0.992 
461.500,  0.998 
461.600,  0.989 
461.700,  0.963 
461.800,  0.994 
461.900,  0.935 
462.000,  0.980 
462.100,  0.971 
462.200,  0.993 
462.300,  0.997 
462.400,  0.999 
462.500,  0.994 
462.600,  0.981 
462.700,  0.993 
462.800,  0.998 
462.900,  0.929 
463.000,  0.997 
463.100,  0.998 
463.200,  0.996 
463.300,  0.997 
463.400,  0.939 
463.500,  0.961 
463.600,  0.989 
463.700,  0.996 
463.800,  0.985 
463.900,  0.999 
464.000,  0.997 
464.100,  0.997 
464.200,  0.997 
464.300,  0.994 
464.400,  0.998 
464.500,  0.993 
464.600,  0.993 
464.700,  0.992 
464.800,  0.995 
464.900,  0.982 
465.000,  0.999 
465.100,  0.998 
465.200,  0.994 
465.300,  0.998 
465.400,  0.997 
465.500,  0.984 
465.600,  0.994 
465.700,  0.959 
465.800,  0.999 
465.900,  0.997 
466.000,  0.998 
466.100,  0.996 
466.200,  0.997 
466.300,  0.984 
466.400,  0.993 
466.500,  0.992 
466.600,  0.994 
466.700,  0.953 
466.800,  0.986 
466.900,  0.990 
467.000,  0.963 
467.100,  0.997 
467.200,  0.999 
467.300,  0.989 
467.400,  0.997 
467.500,  0.996 
467.600,  0.997 
467.700,  0.998 
467.800,  0.997 
467.900,  0.971 
468.000,  0.992 
468.100,  0.996 
468.200,  0.996 
468.300,  0.998 
468.400,  0.999 
468.500,  0.994 
468.600,  0.991 
468.700,  0.999 
468.800,  0.999 
468.900,  0.998 
469.000,  0.993 
469.100,  0.981 
469.200,  0.996 
469.300,  0.998 
469.400,  0.996 
469.500,  0.996 
469.600,  0.996 
469.700,  0.999 
469.800,  0.993 
469.900,  0.993 
470.000,  0.999 
470.100,  0.997 
470.200,  0.992 
470.300,  0.940 
470.400,  0.993 
470.500,  0.994 
470.600,  0.998 
470.700,  0.987 
470.800,  0.997 
470.900,  0.981 
471.000,  0.994 
471.100,  0.997 
471.200,  1.000 
471.300,  0.996 
471.400,  0.983 
471.500,  0.998 
471.600,  0.996 
471.700,  0.978 
471.800,  1.001 
471.900,  1.002 
472.000,  0.998 
472.100,  0.970 
472.200,  0.998 
472.300,  1.001 
472.400,  1.004 
472.500,  1.005 
472.600,  1.005 
472.700,  0.996 
472.800,  1.000 
472.900,  0.998 
473.000,  0.996 
473.100,  0.975 
473.200,  0.992 
473.300,  1.005 
473.400,  0.996 
473.500,  1.006 
473.600,  0.998 
473.700,  0.991 
473.800,  1.001 
473.900,  1.001 
474.000,  0.992 
474.100,  1.008 
474.200,  1.005 
474.300,  1.006 
474.400,  1.011 
474.500,  1.008 
474.600,  1.003 
474.700,  1.012 
474.800,  1.010 
474.900,  1.013 
475.000,  1.012 
475.100,  1.015 
475.200,  1.009 
475.300,  1.015 
475.400,  1.007 
475.500,  1.014 
475.600,  1.000 
475.700,  1.012 
475.800,  1.013 
475.900,  1.015 
476.000,  1.016 
476.100,  1.016 
476.200,  1.000 
476.300,  1.007 
476.400,  1.003 
476.500,  1.007 
476.600,  1.011 
476.700,  1.007 
476.800,  1.015 
476.900,  1.018 
477.000,  1.012 
477.100,  1.020 
477.200,  1.004 
477.300,  1.017 
477.400,  1.021 
477.500,  1.021 
477.600,  0.994 
477.700,  1.022 
477.800,  1.022 
477.900,  1.020 
478.000,  0.989 
478.100,  1.019 
478.200,  1.021 
478.300,  1.013 
478.400,  1.018 
478.500,  1.021 
478.600,  1.016 
478.700,  1.014 
478.800,  1.023 
478.900,  1.013 
479.000,  1.012 
479.100,  1.023 
479.200,  1.014 
479.300,  1.019 
479.400,  1.023 
479.500,  1.023 
479.600,  1.020 
479.700,  1.022 
479.800,  1.014 
479.900,  1.016 
480.000,  1.000 
480.100,  1.016 
480.200,  1.017 
480.300,  1.017 
480.400,  1.021 
480.500,  0.975 
480.600,  1.018 
480.700,  1.013 
480.800,  1.017 
480.900,  1.017 
481.000,  1.015 
481.100,  1.009 
481.200,  0.997 
481.300,  1.011 
481.400,  1.014 
481.500,  1.001 
481.600,  1.009 
481.700,  1.006 
481.800,  0.999 
481.900,  1.007 
482.000,  1.001 
482.100,  1.000 
482.200,  1.001 
482.300,  0.992 
482.400,  0.940 
482.500,  0.987 
482.600,  0.984 
482.700,  0.979 
482.800,  0.979 
482.900,  0.969 
483.000,  0.968 
483.100,  0.958 
483.200,  0.958 
483.300,  0.946 
483.400,  0.943 
483.500,  0.936 
483.600,  0.910 
483.700,  0.919 
483.800,  0.911 
483.900,  0.899 
484.000,  0.880 
484.100,  0.879 
484.200,  0.866 
484.300,  0.852 
484.400,  0.840 
484.500,  0.825 
484.600,  0.809 
484.700,  0.791 
484.800,  0.747 
484.900,  0.752 
485.000,  0.733 
485.100,  0.708 
485.200,  0.685 
485.300,  0.659 
485.400,  0.632 
485.500,  0.599 
485.600,  0.565 
485.700,  0.536 
485.800,  0.499 
485.900,  0.459 
486.000,  0.411 
486.100,  0.283 
486.200,  0.351 
486.300,  0.430 
486.400,  0.469 
486.500,  0.512 
486.600,  0.546 
486.700,  0.581 
486.800,  0.612 
486.900,  0.640 
487.000,  0.667 
487.100,  0.673 
487.200,  0.702 
487.300,  0.736 
487.400,  0.746 
487.500,  0.776 
487.600,  0.767 
487.700,  0.805 
487.800,  0.795 
487.900,  0.838 
488.000,  0.852 
488.100,  0.863 
488.200,  0.871 
488.300,  0.884 
488.400,  0.885 
488.500,  0.891 
488.600,  0.906 
488.700,  0.911 
488.800,  0.925 
488.900,  0.924 
489.000,  0.938 
489.100,  0.883 
489.200,  0.928 
489.300,  0.947 
489.400,  0.947 
489.500,  0.959 
489.600,  0.962 
489.700,  0.965 
489.800,  0.970 
489.900,  0.972 
490.000,  0.964 
490.100,  0.976 
490.200,  0.967 
490.300,  0.957 
490.400,  0.976 
490.500,  0.984 
490.600,  0.985 
490.700,  0.986 
490.800,  0.984 
490.900,  0.988 
491.000,  0.976 
491.100,  0.954 
491.200,  0.984 
491.300,  0.985 
491.400,  0.991 
491.500,  0.989 
491.600,  0.994 
491.700,  0.989 
491.800,  0.986 
491.900,  0.953 
492.000,  0.964 
492.100,  0.969 
492.200,  0.988 
492.300,  0.996 
492.400,  0.912 
492.500,  0.984 
492.600,  0.992 
492.700,  0.995 
492.800,  0.999 
492.900,  0.999 
493.000,  0.997 
493.100,  0.999 
493.200,  0.980 
493.300,  0.993 
493.400,  0.987 
493.500,  0.996 
493.600,  0.993 
493.700,  0.994 
493.800,  0.995 
493.900,  0.978 
494.000,  0.981 
494.100,  0.995 
494.200,  0.996 
494.300,  0.997 
494.400,  0.998 
494.500,  1.000 
494.600,  0.991 
494.700,  0.999 
494.800,  0.996 
494.900,  0.992 
495.000,  0.998 
495.100,  1.000 
495.200,  0.994 
495.300,  0.996 
495.400,  0.997 
495.500,  0.996 
495.600,  1.000 
495.700,  0.962 
495.800,  0.938 
495.900,  1.000 
496.000,  1.002 
496.100,  1.002 
496.200,  1.001 
496.300,  0.999 
496.400,  1.002 
496.500,  1.000 
496.600,  0.991 
496.700,  1.001 
496.800,  0.992 
496.900,  1.000 
497.000,  0.995 
497.100,  0.997 
497.200,  1.002 
497.300,  0.992 
497.400,  1.001 
497.500,  1.001 
497.600,  1.001 
497.700,  0.994 
497.800,  1.000 
497.900,  0.990 
498.000,  0.990 
498.100,  0.995 
498.200,  0.979 
498.300,  0.965 
498.400,  0.964 
498.500,  0.982 
498.600,  0.993 
498.700,  1.001 
498.800,  1.001 
498.900,  0.988 
499.000,  0.998 
499.100,  0.983 
499.200,  1.001 
499.300,  0.978 
499.400,  0.981 
499.500,  1.002 
499.600,  1.000 
499.700,  0.999 
499.800,  1.000 
499.900,  0.995 
