Source_ID,RA,Dec,G,BpRp
6.49215E+16,57.2438,23.201,11.3249,1.0807
6.64528E+16,57.4599,23.7054,11.353,1.0199
6.44503E+16,55.5165,22.4267,11.3585,1.2402
6.68006E+16,56.5491,24.6221,11.4059,1.054
6.98572E+16,56.8118,25.3716,11.4254,1.0868
6.6538E+16,57.7296,24.1972,11.4256,1.027
6.98767E+16,55.9515,25.0042,11.434,1.1085
6.99458E+16,56.18,25.8753,11.4378,1.0962
7.04627E+16,56.9901,26.6291,11.4624,1.076
6.49233E+16,57.2598,23.2522,11.4733,1.0478
6.65565E+16,57.4024,24.2959,11.4759,1.0648
6.83342E+16,55.1281,24.4871,11.5097,1.108
7.00495E+16,56.5397,26.1386,11.5163,1.2717
6.68089E+16,56.6575,24.7475,11.5874,1.1022
5.16191E+16,58.3703,20.9072,11.6577,1.1712
6.38764E+16,58.4702,22.4183,11.6736,1.2947
6.51946E+16,56.2638,23.8392,11.6841,1.1114
6.83176E+16,55.7624,24.6696,11.6849,1.1234
6.6958E+16,57.6489,25.4263,11.7302,1.2106
7.0125E+16,55.9543,25.7294,11.7337,1.1455
7.02863E+16,56.3081,26.5882,11.7473,1.1114
6.39518E+16,57.1942,22.07,11.7999,1.2486
6.57873E+16,59.3889,24.053,11.8225,1.1357
6.50303E+16,55.7468,22.9007,11.8291,1.1801
6.40957E+16,57.9127,22.7501,11.8502,1.1648
6.52485E+16,56.0532,24.0316,11.8598,1.2781
6.86602E+16,55.0502,25.6421,11.8621,1.2396
6.99176E+16,56.1832,25.4991,11.8624,1.18
6.48881E+16,56.9209,22.9298,11.8863,1.4087
6.67478E+16,57.4262,24.4628,11.8998,1.182
6.51786E+16,56.4143,23.7541,11.9256,1.623
6.68143E+16,56.5325,24.8667,11.9502,1.3159
6.52236E+16,56.6642,24.0295,11.9571,1.2012
6.98965E+16,55.8068,25.2699,11.9594,1.234
6.49803E+16,56.6678,23.4975,11.9617,1.4194
6.83987E+16,54.1264,24.012,11.9781,1.1978
6.39164E+16,56.8924,21.7466,11.9852,1.2186
6.50102E+16,56.7783,23.715,11.9949,1.2157
6.6659E+16,57.9138,24.5487,12.009,1.2228
6.42721E+16,54.3014,21.468,12.0392,1.2081
6.519E+16,56.3384,23.7273,12.0717,1.538
6.64809E+16,57.8204,23.8264,12.0902,1.2308
7.02349E+16,56.221,26.1418,12.1302,1.2784
6.5201E+16,56.5116,23.7372,12.1337,1.7131
6.65843E+16,58.5372,24.3335,12.1848,1.3437
6.99066E+16,56.0213,25.4836,12.1853,1.2659
6.51642E+16,56.3425,23.4715,12.1906,1.307
6.56774E+16,57.7144,23.3289,12.1945,1.2623
6.50105E+16,56.8065,23.7141,12.2159,1.2617
6.67347E+16,56.8254,24.3906,12.2292,1.4833
6.98765E+16,55.861,24.9941,12.2381,1.3596
6.49349E+16,57.1169,23.3006,12.2423,1.3191
6.57324E+16,58.9836,23.5671,12.2591,1.3021
6.65669E+16,57.6442,24.5076,12.2869,1.2708
6.35474E+16,55.8113,21.1526,12.2959,1.3319
6.58644E+16,58.9934,24.5497,12.3076,1.3282
6.95851E+16,52.8249,26.0286,12.3085,1.2808
7.0159E+16,55.1775,25.7053,12.3133,1.3088
6.66407E+16,57.9725,24.3868,12.3414,1.3302
6.57813E+16,59.3203,24.009,12.3571,1.353
6.40661E+16,57.7245,22.5479,12.3646,1.3313
6.42763E+16,54.6243,21.5649,12.3702,1.3516
6.83904E+16,55.6151,25.0468,12.3766,1.3087
6.49811E+16,56.5173,23.4053,12.3976,1.382
7.01218E+16,55.5197,25.8857,12.4061,1.3656
6.5053E+16,55.3853,23.1615,12.4139,1.3606
6.67998E+16,56.5272,24.5672,12.4143,1.3389
6.35473E+16,56.0028,21.2819,12.4209,1.362
6.67336E+16,56.6555,24.3433,12.4411,1.3933
7.01693E+16,55.4962,25.9207,12.4495,1.3623
6.51259E+16,55.2137,23.5982,12.4521,1.3632
6.67745E+16,57.3359,24.7765,12.4596,1.373
7.01327E+16,56.0188,25.8561,12.5128,1.4364
6.58009E+16,58.6166,23.8352,12.5198,1.6999
6.68163E+16,56.8904,24.684,12.5404,1.4015
6.41487E+16,57.6919,22.9305,12.5485,1.4772
6.83104E+16,56.0914,24.7682,12.5533,1.3938
6.49851E+16,56.6158,23.5925,12.5638,1.5844
6.66125E+16,58.7191,24.5761,12.6038,1.6745
6.99352E+16,56.0119,25.6561,12.6104,1.4632
6.95753E+16,53.2517,25.9958,12.6161,1.4382
6.67998E+16,56.5289,24.5626,12.6925,1.4467
6.56805E+16,57.989,23.3392,12.7132,1.4653
6.38496E+16,57.8495,22.1132,12.7243,1.4535
6.67542E+16,57.5518,24.5327,12.7328,1.4336
6.98348E+16,56.3065,25.0876,12.7773,1.4643
6.64893E+16,57.8518,24.0872,12.7793,1.4697
6.69379E+16,57.5028,25.3986,12.7819,1.7534
6.98383E+16,56.1561,25.1376,12.7919,1.5025
6.54717E+16,59.8648,23.1236,12.8293,1.5298
6.53301E+16,59.0243,22.4393,12.8546,1.5781
6.51902E+16,56.3733,23.7603,12.8558,1.5522
6.67871E+16,56.6621,24.5201,12.8688,1.5128
6.49365E+16,57.1894,23.3387,12.8828,1.5054
6.68162E+16,56.999,24.7311,12.9041,1.5783
6.98144E+16,56.2092,24.9109,12.9856,1.5627
6.52812E+16,56.3873,24.303,12.9895,1.5924
6.39586E+16,57.2969,22.1766,12.9938,1.7024
6.52084E+16,56.9228,23.9717,13.0072,1.5475
6.64818E+16,57.8748,23.899,13.0282,1.5706
6.55885E+16,58.269,22.8012,13.1009,1.5995
6.49906E+16,56.9085,23.4678,13.1137,1.5855
6.52149E+16,56.4604,23.8738,13.1341,1.6774
6.39588E+16,57.3996,22.1512,13.1419,1.9259
6.49597E+16,56.7807,23.2262,13.1433,1.5969
6.52482E+16,56.0962,24.0681,13.1688,1.7458
7.04616E+16,57.052,26.5836,13.1789,1.6359
6.49719E+16,56.5349,23.3473,13.2178,1.641
6.68979E+16,58.1891,25.2797,13.2479,1.6402
6.67301E+16,56.9183,24.3017,13.2676,1.7036
6.98239E+16,56.1139,24.8438,13.2807,2.0093
6.80514E+16,53.0021,23.7746,13.3061,1.6636
6.69444E+16,57.032,25.3151,13.3094,1.7167
6.68526E+16,57.7733,24.7366,13.3108,1.6781
6.99885E+16,57.3357,25.8178,13.3151,1.7197
6.50135E+16,56.9217,23.7401,13.3178,1.6478
6.68115E+16,56.5854,24.7853,13.3376,1.6947
6.85872E+16,55.4957,25.3288,13.3443,2.0467
6.44388E+16,55.7491,22.4241,13.3615,1.7057
6.5162E+16,56.2457,23.3887,13.3746,1.7225
7.0313E+16,55.9087,26.6123,13.3905,1.6709
6.8619E+16,54.7029,25.1886,13.3923,1.9789
6.68023E+16,56.3,24.586,13.4,1.7046
6.48563E+16,56.522,22.9814,13.414,1.7675
6.50895E+16,55.9526,23.5392,13.4188,1.7171
6.6753E+16,57.3142,24.5671,13.4303,1.7988
6.68375E+16,56.6678,24.9309,13.436,1.8326
6.69978E+16,59.098,24.8322,13.447,1.7113
6.65393E+16,57.5211,24.1238,13.447,1.7278
7.04265E+16,57.7941,26.5875,13.4568,1.6937
6.64817E+16,57.8557,23.8892,13.4651,1.7395
7.10424E+16,54.8263,26.7932,13.479,1.7291
6.51311E+16,55.4737,23.4578,13.488,1.8508
6.51079E+16,55.3076,23.3847,13.4928,1.7267
6.57506E+16,58.8709,23.7722,13.4943,1.735
6.86209E+16,54.7205,25.2362,13.4976,1.7857
6.45979E+16,54.1015,22.6236,13.515,1.7697
6.83645E+16,55.5163,24.7123,13.5206,1.7993
6.57125E+16,58.0939,23.6447,13.5233,1.8281
6.52264E+16,56.63,24.1171,13.5407,1.8473
6.56419E+16,58.4887,23.3451,13.5493,1.8429
6.52144E+16,56.454,23.8527,13.5667,1.78
6.52127E+16,56.8258,24.0362,13.5677,1.8632
6.98349E+16,56.3257,25.0993,13.57,1.7812
6.65815E+16,58.6186,24.3209,13.5826,1.786
6.83645E+16,55.5159,24.7125,13.5972,1.8733
6.49442E+16,57.3956,23.4545,13.6025,1.8906
6.52244E+16,56.5537,24.0542,13.6037,1.8112
6.69033E+16,57.8423,25.1659,13.6131,1.8188
6.49223E+16,57.3014,23.2281,13.6334,1.8176
6.82946E+16,55.9039,24.3938,13.637,1.8263
6.81207E+16,54.8718,23.4992,13.6594,1.8325
6.4103E+16,57.8493,22.8413,13.667,1.8396
6.68233E+16,56.9088,24.8917,13.6743,1.8256
6.52447E+16,56.1476,24.0011,13.6797,1.8219
6.52225E+16,56.4337,24.0739,13.6911,1.8298
6.68082E+16,56.6194,24.7588,13.7024,1.8476
6.50279E+16,55.6096,22.8945,13.7029,1.8354
6.49895E+16,57.0458,23.5068,13.7121,1.8174
6.40408E+16,57.5955,22.1881,13.7161,1.9026
6.674E+16,57.0721,24.5042,13.7177,1.8534
6.83235E+16,55.9674,24.8414,13.7349,1.8592
6.52111E+16,56.6497,23.9668,13.7362,1.8533
6.66945E+16,58.2465,24.9013,13.7374,1.8535
6.89568E+16,52.7997,25.1649,13.7457,1.9092
